"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"AT2G31290",0.0116034918905103,-0.562501091415864,0.007,0.013,1,"AT2G31290","No"
"ATCG00065",0.011642954523781,0.146183599819547,0.023,0.032,1,"ATCG00065","No"
"AT3G54170",0.011664100351672,0.608439172553341,0.171,0.16,1,"AT3G54170","No"
"FMO GS-OX1",0.0116938267040803,-0.320120758034123,0.027,0.019,1,"FMO GS-OX1","No"
"AT5G46860",0.0117001425592247,0.39125610622482,0.477,0.515,1,"AT5G46860","No"
"AT3G06850",0.0117610170896849,0.191849502760653,0.138,0.163,1,"AT3G06850","No"
"AT2G27260",0.0117994340232705,0.28979018727963,0.181,0.21,1,"AT2G27260","No"
"AT2G06005",0.0118228659390944,-0.266732874435792,0.015,0.022,1,"AT2G06005","No"
"AT3G21220",0.0118639427416292,0.223711046403761,0.308,0.356,1,"AT3G21220","No"
"AT5G04560",0.0118929989577222,0.782704589219933,0.115,0.103,1,"AT5G04560","No"
"AT2G04620",0.0119198438980459,1.28448060152733,0.022,0.015,1,"AT2G04620","No"
"AT1G01670",0.0119727017992871,1.24247716478075,0.021,0.014,1,"AT1G01670","No"
"AT1G52760",0.0120024810539267,1.00158445410092,0.13,0.119,1,"AT1G52760","No"
"AT2G40020",0.0120113357377511,0.782215198151329,0.133,0.121,1,"AT2G40020","No"
"AT1G73250",0.0120127110430824,0.598076514263704,0.174,0.164,1,"AT1G73250","No"
"AT2G23790",0.012041757295059,0.652216538998572,0.157,0.142,1,"AT2G23790","No"
"AT1G59640",0.0120601636689882,0.911564039386549,0.026,0.018,1,"AT1G59640","No"
"AT1G08400",0.0121189653564013,1.47065549252603,0.017,0.011,1,"AT1G08400","No"
"AT5G07690",0.0121256105700202,-0.699383309400826,0.014,0.021,1,"AT5G07690","No"
"AT2G44630",0.0121483278175492,-0.505472772574818,0.008,0.013,1,"AT2G44630","No"
"AT1G55325",0.0122232912480675,0.303649960456234,0.037,0.048,1,"AT1G55325","No"
"AT3G59060",0.0122572307779855,0.441463924981528,0.468,0.492,1,"AT3G59060","No"
"AT1G62610",0.0123059493078515,0.631556183313902,0.014,0.02,1,"AT1G62610","No"
"AT1G56020",0.012308143273931,-0.250694465075228,0.009,0.014,1,"AT1G56020","No"
"AT4G17310",0.0123509058170937,0.118262746213725,0.084,0.101,1,"AT4G17310","No"
"AT4G18130",0.0123780818105386,0.605202817712769,0.065,0.08,1,"AT4G18130","No"
"AT5G18250",0.0123882450774533,0.174595632831219,0.09,0.109,1,"AT5G18250","No"
"AT1G79940",0.0124080963858749,0.854184601923191,0.188,0.182,1,"AT1G79940","No"
"AT1G28540",0.0124191444288873,0.644418912274774,0.25,0.25,1,"AT1G28540","No"
"AT5G38650",0.01247747054908,1.36223678664953,0.016,0.01,1,"AT5G38650","No"
"AT1G03910",0.0124853127594334,0.509799150497157,0.257,0.253,1,"AT1G03910","No"
"AT1G10970",0.0125101767401253,-0.238520203795907,0.009,0.014,1,"AT1G10970","No"
"AT5G45190",0.0125345087313411,0.527235265133639,0.212,0.201,1,"AT5G45190","No"
"AT3G43700",0.0125378932890696,0.23440861381122,0.039,0.05,1,"AT3G43700","No"
